('grande a', 1.0)
('mercado n', 0.38606260910714785)
('empresa n', 0.3389339324399377)
('méxico n', 0.32893014968498235)
('parte n', 0.3247605514953442)
('decir v', 0.31022023262746434)
('económico a', 0.30872673365098036)
('crecimiento n', 0.2947319272983434)
('país n', 0.2935949242057159)
('poder v', 0.29013608954555276)
('nuevo a', 0.2900746693985921)
('ver v', 0.2849895745528613)
('acción n', 0.28448822892691966)
('mexicano a', 0.2834864098770377)
('hacer v', 0.2801369507191638)
('empleo n', 0.27107289298547066)
('importante a', 0.2698597094171759)
('deber v', 0.2686374432017962)
('venta n', 0.2584530568006703)
('financiero a', 0.2581552492685688)
('forma n', 0.25401154064323583)
('banco n', 0.25360315742162687)
('valor n', 0.2534565158698634)
('desempleada n', 0.25067410344204927)
('factoría n', 0.25067410344204927)
('formar v', 0.2506528156747448)
('problema n', 0.25003821356206346)
('listadas n', 0.24870800168690346)
('teléfono n', 0.24633121540449054)
('producto n', 0.2450013377719607)
('acuerdo n', 0.24218678049853024)
('ciudad n', 0.24038787946535334)
('dar v', 0.23913869959185194)
('reto n', 0.23797825535872663)
('mayor a', 0.23746289932024542)
('solórzano n', 0.23746289932024542)
('año n', 0.23666737648370587)
('mediano a', 0.2365046375090974)
('nacional a', 0.2363614902370936)
('mayoría n', 0.23565437533018438)
('sólo r', 0.23526461180596886)
('atrasada n', 0.23500697197692116)
('gobierno n', 0.234800321405841)
('querer v', 0.23314996033067462)
('sector n', 0.23242354919549907)
('campaña n', 0.23204967122481657)
('si c', 0.23131000735834015)
('tratar v', 0.23124895067311632)
('permitir v', 0.2303787622145946)
('producción n', 0.22884210789268633)
('generar v', 0.2268240163863781)
('privado a', 0.226570665982242)
('siempre r', 0.2255396855452115)
('pronto r', 0.22510489372511563)
('actividad n', 0.22488038986636316)
('proyecto n', 0.22423427089550121)
('así r', 0.22406614003400332)
('autoridad n', 0.22393776326332493)
('realidad n', 0.22375248288849808)
('unidos n', 0.22210443185401657)
('caso n', 0.22209475968289935)
